,_id,username,role,supporter,verified,country,gamesplayed,gameswon,rating,glicko,rd,rank,apm,pps,vs,decaying
10943,5f882abf197fd83c076ab6f9,reidon,user,,False,ID,57,33,5309.134432541283,1156,70,b-,8.63,0.79,18.86,False
10944,5fea9d022f7ee40b88d7d23a,tiawan,user,,False,TW,23,10,5306.109902538562,1154,100,b-,8.51,0.6,19.04,True
10945,5ebf2e2146fbeb624db3bb88,credosvaldo,user,,False,BR,214,106,5303.363899554561,1155,79,b-,16.62,0.93,32.57,False
10946,600b1b9913cfe0e9352fbbdc,jodu,user,,False,FI,16,6,5302.850343519162,1153,93,b-,9.96,0.83,20.04,False
10947,60066fd513cfe0e9352ee361,chaseyowo,user,,False,US,53,28,5302.213675259991,1156,65,b-,15.73,0.97,30.43,False
10948,6006dda8029639e93c96ea18,aekos,user,,False,PH,16,6,5301.300009904829,1153,93,b-,9.59,0.83,20.4,True
10949,5ed77782e05a9827c87f9339,silvia,user,,False,ID,67,37,5299.824619936954,1154,83,b-,13.31,0.95,29.39,True
10950,5f91ad832210b5df8d050b62,cesar7rom,user,,False,VE,82,38,5298.691530645807,1156,67,b-,13.0,0.82,29.99,True
10951,5fbf2e3a3a6a8b21b89a41aa,juanico,user,,False,PH,18,6,5298.350476917884,1153,88,b-,11.52,1.02,24.12,False
10952,5fb918909efe6021cc6977d3,iam87,user,,False,TW,29,15,5297.802147059798,1154,77,b-,17.24,0.86,33.14,False
